total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
6,5,6,CARJA Enkileda,2903,2008-01-23,15.5,W,ALB,B,58.7,59 kg Women,0,0,579,European Junior Championships,2023-07-24,82,85,-87,85,96,100,102,102,187
12,13,13,MAROOFI Hanna,10164,2004-06-26,19.1,W,NOR,B,58.45,59 kg Women,0,0,579,European Junior Championships,2023-07-24,73,76,-79,76,88,91,-93,91,167
14,14,15,"NAEVDAL Sandra",11407,2005-03-13,18.4,W,NOR,B,58.45,59 kg Women,0,0,579,European Junior Championships,2023-07-24,70,73,76,76,-88,88,-91,88,164
15,17,14,BERCHI Dana,2123,2005-11-12,17.7,W,ROU,B,58.4,59 kg Women,0,0,579,European Junior Championships,2023-07-24,70,-73,-73,70,-90,91,-95,91,161
16,16,16,KUBIKOVA Marie,8712,2003-10-25,19.7,W,CZE,B,58.6,59 kg Women,0,0,579,European Junior Championships,2023-07-24,-71,-71,71,71,83,-87,-89,83,154
1,1,1,ISOFACHE Cosmin Florentin,7140,2005-09-19,17.8,M,ROU,A,60,61 kg Men,0,0,579,European Junior Championships,2023-07-24,115,118,121,121,141,145,150,150,271
2,3,3,ELIS Mustafa,4661,2005-07-14,18,M,TUR,A,61,61 kg Men,0,0,579,European Junior Championships,2023-07-24,113,-116,-116,113,140,144,-147,144,257
3,5,2,YEGHOYAN Meruzhan,17670,2004-01-09,19.5,M,ARM,A,60.95,61 kg Men,0,0,579,European Junior Championships,2023-07-24,110,-114,-114,110,140,144,NA,144,254
4,4,4,LAMPRIDIS Konstantinos,8960,2005-01-28,18.5,M,GRE,A,61,61 kg Men,0,0,579,European Junior Championships,2023-07-24,109,113,-116,113,140,-143,-143,140,253
5,2,6,ODIKADZE Giga,11982,2005-02-20,18.4,M,GEO,A,61,61 kg Men,0,0,579,European Junior Championships,2023-07-24,112,115,117,117,133,-138,-140,133,250
6,6,5,BADANEV Ion,1666,2006-01-16,17.5,M,MDA,A,61,61 kg Men,0,0,579,European Junior Championships,2023-07-24,105,109,-111,109,130,134,-136,134,243
7,7,7,ROMERO ROSUA Daniel,13974,2004-09-30,18.8,M,ESP,A,59.05,61 kg Men,0,0,579,European Junior Championships,2023-07-24,100,103,106,106,120,125,-130,125,231
1,1,2,FYLYPIV Vitaliia,5312,2003-01-29,20.5,W,UKR,A,63.95,64 kg Women,0,0,579,European Junior Championships,2023-07-24,88,91,-94,91,109,112,114,114,205
2,3,1,GROSU Anca Georgiana,5959,2004-04-13,19.3,W,ROU,A,62.5,64 kg Women,0,0,579,European Junior Championships,2023-07-24,85,88,-90,88,110,115,-118,115,203
3,5,3,PAYET Loane Marie Aurelia,12627,2003-05-21,20.2,W,FRA,A,63.85,64 kg Women,0,0,579,European Junior Championships,2023-07-24,80,83,-85,83,101,104,108,108,191
4,8,4,SLIPEK Zuzanna Maria,15300,2005-08-29,17.9,W,POL,A,63.6,64 kg Women,0,0,579,European Junior Championships,2023-07-24,78,81,-83,81,95,99,102,102,183
5,6,6,RETTENBERGER Nathalie,13601,2004-06-08,19.1,W,GER,A,63.35,64 kg Women,0,0,579,European Junior Championships,2023-07-24,79,82,-84,82,97,100,-103,100,182
6,7,5,BAECKSTROEM Jannike Anna,1683,2003-08-20,19.9,W,FIN,A,64,64 kg Women,0,0,579,European Junior Championships,2023-07-24,81,-84,-86,81,101,-105,-105,101,182
7,9,7,DADERKO Alina,3805,2007-08-07,16,W,UKR,A,60.65,64 kg Women,0,0,579,European Junior Championships,2023-07-24,73,76,78,78,94,96,98,98,176
8,10,9,NOVAK Alina,11849,2003-09-12,19.9,W,AUT,A,63.55,64 kg Women,0,0,579,European Junior Championships,2023-07-24,73,76,-78,76,96,-99,-101,96,172
NA,2,NA,HALMAC Alice Magda,6195,2004-03-02,19.4,W,ROU,A,63.3,64 kg Women,0,0,579,European Junior Championships,2023-07-24,85,90,-94,90,NA,NA,NA,NA,NA
NA,4,NA,ARRASATE YARNOZ Naroa,1382,2003-02-11,20.4,W,ESP,A,63.3,64 kg Women,0,0,579,European Junior Championships,2023-07-24,77,81,84,84,-101,-102,-103,NA,NA
9,11,8,VAN BEERS Merel,16831,2005-12-21,17.6,W,BEL,B,63.4,64 kg Women,0,0,579,European Junior Championships,2023-07-24,72,74,-76,74,92,95,97,97,171
10,13,10,FANDINO GALVEZ Lucia,4923,2005-01-16,18.5,W,ESP,B,63.9,64 kg Women,0,0,579,European Junior Championships,2023-07-24,-72,-72,72,72,92,95,-98,95,167
11,12,12,EZZEDDINE Alissa,4872,2003-04-18,20.3,W,BEL,B,62.9,64 kg Women,0,0,579,European Junior Championships,2023-07-24,67,70,72,72,-86,87,90,90,162
12,14,13,WIBLING Siff,17332,2003-04-30,20.2,W,DEN,B,63.3,64 kg Women,0,0,579,European Junior Championships,2023-07-24,71,-73,-73,71,86,-89,-89,86,157
13,15,15,KUPERMAN Neta,8778,2004-01-03,19.6,W,ISR,B,59.75,64 kg Women,0,0,579,European Junior Championships,2023-07-24,62,65,68,68,-78,78,-84,78,146
NA,NA,11,UNNARSDOTTIR Ulfhildur Arna,16664,2005-06-27,18.1,W,ISL,B,63.6,64 kg Women,0,0,579,European Junior Championships,2023-07-24,-74,-75,-75,NA,84,-92,92,92,NA
NA,NA,14,KONONEN Olivia,8513,2004-06-23,19.1,W,FIN,B,63.7,64 kg Women,0,0,579,European Junior Championships,2023-07-24,-68,-68,-68,NA,80,-83,-83,80,NA
1,1,1,KAHRIMAN Kaan,7627,2004-09-12,18.9,M,TUR,A,66.5,67 kg Men,0,0,579,European Junior Championships,2023-07-24,130,134,137,137,151,156,NA,156,293
